question,answer
What is your return policy? (Query ID: 1),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 2),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 3),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 4),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 5),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 6),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 7),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 8),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 9),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 10),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 11),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 12),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 13),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 14),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 15),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 16),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 17),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 18),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 19),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 20),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 21),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 22),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 23),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 24),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 25),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 26),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 27),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 28),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 29),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 30),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 31),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 32),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 33),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 34),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 35),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 36),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 37),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 38),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 39),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 40),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 41),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 42),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 43),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 44),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 45),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 46),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 47),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 48),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 49),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 50),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 51),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 52),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 53),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 54),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 55),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 56),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 57),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 58),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 59),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 60),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 61),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 62),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 63),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 64),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 65),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 66),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 67),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 68),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 69),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 70),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 71),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 72),Use the tracking link in your order confirmation email.
Do you ship internationally? (Query ID: 73),"Yes, we ship to most countries worldwide."
How do I reset my password? (Query ID: 74),Click on 'Forgot password' at login and follow instructions.
What payment methods are accepted? (Query ID: 75),"We accept Visa, MasterCard, PayPal, and Apple Pay."
Can I change my delivery address? (Query ID: 76),"Yes, you can change it from your account settings."
How long does delivery take? (Query ID: 77),Delivery takes 3-5 business days on average.
Is there a warranty on products? (Query ID: 78),"Yes, all products come with a 1-year warranty."
Do you have a mobile app? (Query ID: 79),"Yes, our app is available on iOS and Android."
Can I cancel my order? (Query ID: 80),Orders can be canceled within 1 hour of placement.
What is your return policy? (Query ID: 81),Our return policy lasts 30 days from purchase.
How can I track my order? (Query ID: 82),Use the tracking link in your order confirmation email.
