question,answer
"What is your return policy?","Our return policy lasts 30 days from the purchase date with original receipt and tag intact."
"How can I track my order?","You can track your order using the tracking link sent in your email confirmation or via your account dashboard."
"Do you ship internationally?","Yes, we ship to over 100 countries worldwide. Shipping fees and delivery times vary by destination."
"How do I reset my password?","Click on 'Forgot Password' at the login screen, enter your registered email address, and follow the password reset link."
"What payment methods are accepted?","We accept Visa, MasterCard, American Express, PayPal, Apple Pay, and Google Pay."
"Can I change my delivery address?","Yes, you can update your shipping address within 1 hour of placing the order via your account dashboard."
"How long does delivery take?","Standard shipping takes 3-5 business days. Express shipping takes 1-2 business days."
"Is there a warranty on products?","Yes, all electronic products come with a standard 1-year manufacturer warranty."
"Do you have a mobile app?","Yes, our app is available for download on both iOS App Store and Google Play Store."
"How do I contact customer support?","You can reach customer support via live chat on our website or by emailing support@example.com."
"What is AWS Cloud?","Amazon Web Services (AWS) is a comprehensive cloud platform offering over 200 fully featured services from data centers globally."
"How do I create an AWS account?","Visit aws.amazon.com, click 'Create an AWS Account', and follow the step-by-step registration process."
"What is Amazon EC2?","Amazon Elastic Compute Cloud (EC2) provides resizable, secure virtual servers in the cloud."
"What is Amazon S3?","Amazon Simple Storage Service (S3) is an object storage service offering industry-leading scalability, data availability, and security."
"How do I secure my AWS account?","Enable Multi-Factor Authentication (MFA), use IAM roles instead of root credentials, and enforce strong password policies."
"What is the student portal?","The student portal is a centralized online platform where students access course materials, grades, schedules, and university announcements."
"How do I log into the student portal?","Go to portal.university.edu and log in using your student ID number and secret password."
"How can I view my exam results?","Log into the student portal and navigate to Academic History > Grades & Marks to view your semester results."
"How do I register for courses?","Course registration opens each semester under the 'Academics > Course Registration' tab in the student portal."
"What should I do if I forget my student ID?","Contact the Admissions or IT Helpdesk office with your registered national ID or email to recover your student ID."
"How do I request a transcript?","Submit a formal request under 'Student Services > Transcript Request' on the portal or visit the Registrar's Office."
"What are the library opening hours?","The university library is open Monday through Friday from 8:00 AM to 10:00 PM and Saturdays from 9:00 AM to 5:00 PM."
"Is Wi-Fi available on campus?","Yes, high-speed campus Wi-Fi ('Campus-Student') is available using your student portal login credentials."
"How do I apply for financial aid or scholarships?","Check the 'Financial Aid' section on the portal or submit your application to the Student Welfare Department."
"Can I cancel my subscription anytime?","Yes, you can cancel your subscription at any time from your Billing Settings page with no cancellation fee."
"What is your refund policy?","Refunds are processed within 5 to 7 business days back to your original payment method once approved."
"How do I update my personal details?","Log into your account settings, select 'Profile Information', update your details, and click Save."
"Why am I not receiving notification emails?","Check your Spam/Junk folder and make sure notifications@example.com is added to your safe senders list."
"Is my data secure?","Yes, all user data is encrypted in transit (TLS 1.3) and at rest (AES-256) following strict industry standards."
